LoanId,OrderId,PortfolioId,NoteId,PortfolioName,AmountLent,InterestRate,LoanClass.name,LoanType.Label,LoanMaturity.Maturity,PrincipalRemaining,Trend,NoteType,Accrual,PaymentsReceivedToDate,NextPaymentDate,Status,Issue Date,OrderDate,LoanStatusDate
43,2159809,1,12387,All,25,0.1171,B3,Personal,36,13.68488801,UP,1,0.094111701,14.76,8/6/13,Current,1/6/12,12/31/11,2/6/12
44,2159809,1,12388,All,25,0.1242,B4,Personal,36,13.72816538,UP,1,0.095739624,14.94,8/7/13,Current,1/3/12,12/31/11,2/7/12
45,2159809,1,12389,All,25,0.089,A5,Personal,36,0,DOWN,1,0,26.2,9/8/12,Fully Paid,1/3/12,12/31/11,8/24/12
46,2159809,1,12390,All,25,0.0603,A1,Personal,36,13.07741386,UP,1,0.040232842,13.68,8/9/13,Current,1/5/12,12/31/11,2/9/12
47,2159809,1,12391,All,25,0.0751,A3,Personal,36,13.31900576,UP,1,0.050636236,13.86,8/9/13,Current,1/5/12,12/31/11,2/9/12
48,2159809,1,12392,All,25,0.079,A4,Personal,36,13.27126596,UP,1,0.053411897,14.04,8/9/13,Current,1/5/12,12/31/11,2/9/12
49,2159809,1,12393,All,25,0.089,A5,Personal,36,20.02853036,DOWN,1,0,6.32,2/10/13,Charged Off,1/5/12,12/31/11,2/26/13
50,2159809,1,12394,All,25,0.1065,B2,Personal,36,13.55307088,DOWN,1,0.069525699,14.58,8/10/13,Current,1/3/12,12/31/11,6/20/13
51,2159809,1,12395,All,25,0.1349,C1,Personal,36,3.244822241,DOWN,1,0.054532206,23.86,7/11/13,Late (16-30 days),1/9/12,12/31/11,7/28/13
52,2159809,1,12396,All,25,0.089,A5,Personal,36,13.38632106,DOWN,1,0.057404202,14.22,8/10/13,Current,1/3/12,12/31/11,11/27/12
53,2159809,1,12397,All,25,0.0991,B1,Personal,36,18.17810703,DOWN,1,0,8.8,4/10/13,Charged Off,1/6/12,12/31/11,4/18/13
54,2159809,1,12398,All,25,0.1242,B4,Personal,36,21.47226542,DOWN,1,0,4.98,12/10/12,Charged Off,1/11/12,12/31/11,12/24/12
55,2159809,1,12399,All,25,0.0603,A1,Personal,36,13.07742677,UP,1,0.038115552,13.68,8/10/13,Current,1/3/12,12/31/11,2/10/12
56,2159809,1,12400,All,25,0.079,A4,Personal,36,13.27115182,UP,1,0.050598665,14.04,8/10/13,Current,1/17/12,12/31/11,2/10/12
57,2159809,1,12401,All,25,0.079,A4,Personal,36,13.27115182,DOWN,1,0.050598665,14.04,8/10/13,Current,1/9/12,12/31/11,2/10/12
58,2159809,1,12402,All,50,0.0662,A2,Personal,36,0,UP,1,0,53.21,4/10/13,Fully Paid,1/3/12,12/31/11,3/28/13
